site,value
876883.0,4.126
753244.0,3.969
951584.0,3.888
278149.0,3.88
641155.0,3.835
912957.0,3.655
20407.0,3.593
20437.0,3.544
619692.0,3.511
547070.0,3.466
448931.0,3.46
322707.0,3.438
278070.0,3.412
547104.0,3.387
152333.0,3.385
211879.0,3.372
527993.0,3.326
606176.0,3.314
143634.0,3.302
907306.0,3.281
211863.0,3.255
528014.0,3.24
450997.0,3.217
1020854.0,3.198
379000.0,3.192
235296.0,3.168
151168.0,3.162
824209.0,3.103
549801.0,3.092
667126.0,3.082
907763.0,3.069
763036.0,3.063
547516.0,3.053
806648.0,3.047
717393.0,3.039
878073.0,3.027
763051.0,3.016
593870.0,3.006
89243.0,2.994
598246.0,2.983
763064.0,2.97
438526.0,2.962
258878.0,2.949
1064845.0,2.943
598255.0,2.936
82445.0,2.927
414981.0,2.923
146087.0,2.89
851482.0,2.888
379463.0,2.886
492864.0,2.884
278195.0,2.873
468307.0,2.863
480165.0,2.862
431106.0,2.855
851478.0,2.848
1052179.0,2.839
414937.0,2.837
783352.0,2.82
826280.0,2.807
614904.0,2.796
53930.0,2.779
391635.0,2.702
575881.0,2.657
96724.0,2.619
605485.0,2.563
950801.0,2.507
273509.0,2.469
458734.0,2.446
446891.0,2.408
892935.0,2.372
599216.0,2.338
906674.0,2.306
309392.0,2.273
457425.0,2.251
988615.0,2.229
868581.0,2.208
971581.0,2.187
889239.0,2.163
53194.0,2.142
285695.0,2.123
998694.0,2.099
452105.0,2.077
671033.0,2.062
384428.0,2.043
514168.0,2.025
107037.0,2.01
243093.0,1.997
862627.0,1.975
244418.0,1.96
528881.0,1.937
411577.0,1.919
1070970.0,1.899
378639.0,1.888
881243.0,1.869
583566.0,1.855
1027450.0,1.843
167850.0,1.83
877301.0,1.814
770025.0,1.8
654083.0,1.786
276054.0,1.774
300125.0,1.76
243915.0,1.748
206709.0,1.734
529682.0,1.723
1020407.0,1.714
127390.0,1.702
665482.0,1.691
324816.0,1.682
66597.0,1.672
581661.0,1.661
1016713.0,1.646
511525.0,1.633
806745.0,1.624
748755.0,1.612
907876.0,1.6
941716.0,1.592
42125.0,1.581
273843.0,1.571
689333.0,1.563
313746.0,1.551
194277.0,1.542
178268.0,1.531
771538.0,1.522
1049177.0,1.515
755915.0,1.505
449444.0,1.496
1018678.0,1.488
112584.0,1.481
506233.0,1.468
320070.0,1.461
159321.0,1.452
679386.0,1.441
322653.0,1.434
979165.0,1.427
370095.0,1.419
216059.0,1.411
1021690.0,1.403
482254.0,1.396
913669.0,1.384
645868.0,1.377
776264.0,1.37
916755.0,1.361
407326.0,1.355
1070581.0,1.347
179855.0,1.341
739422.0,1.332
907528.0,1.326
143236.0,1.315
694132.0,1.307
81159.0,1.301
667036.0,1.294
968594.0,1.285
1015907.0,1.276
315853.0,1.269
869318.0,1.263
869319.0,1.256
559189.0,1.246
992688.0,1.238
195825.0,1.23
605882.0,1.222
756784.0,1.215
420715.0,1.205
626179.0,1.198
930599.0,1.19
892827.0,1.183
522505.0,1.176
97900.0,1.17
543751.0,1.164
980838.0,1.155
1074980.0,1.148
241859.0,1.141
1063834.0,1.136
725556.0,1.13
626150.0,1.123
200146.0,1.116
174109.0,1.109
176951.0,1.103
152719.0,1.098
620439.0,1.09
650460.0,1.083
250735.0,1.076
406270.0,1.069
299533.0,1.066
553634.0,1.06
329086.0,1.053
276295.0,1.049
418450.0,1.044
956939.0,1.038
305635.0,1.034
22082.0,1.026
922744.0,1.02
217109.0,1.013
1040862.0,1.009
349355.0,1.005
975990.0,1.001
426983.0,0.996
527813.0,0.992
1056329.0,0.987
283367.0,0.983
650324.0,0.975
887959.0,0.969
132248.0,0.964
377076.0,0.96
341156.0,0.955
696427.0,0.95
18916.0,0.945
158055.0,0.939
460830.0,0.933
742571.0,0.928
607087.0,0.921
169663.0,0.916
78370.0,0.911
323976.0,0.906
