ch,site,value
1.0,92279.0,0.512
1.0,55643.0,0.257
1.0,59326.0,1.067
1.0,150176.0,0.881
1.0,195643.0,1.36
1.0,53861.0,0.847
1.0,193265.0,1.792
1.0,92285.0,0.442
1.0,43100.0,1.135
1.0,169887.0,1.041
1.0,202816.0,1.613
1.0,53960.0,0.972
1.0,30418.0,0.967
1.0,154077.0,0.131
1.0,49303.0,1.026
1.0,146571.0,0.258
1.0,157689.0,0.414
1.0,124242.0,0.942
1.0,37176.0,0.296
1.0,2939.0,0.644
1.0,126739.0,0.356
1.0,39819.0,0.87
1.0,195045.0,1.634
1.0,110775.0,0.731
1.0,193618.0,1.087
1.0,147010.0,0.444
1.0,120702.0,0.925
1.0,185111.0,2.793
1.0,200581.0,0.444
1.0,6665.0,0.107
1.0,95735.0,0.568
1.0,177941.0,0.608
1.0,119377.0,1.312
1.0,69223.0,2.284
1.0,157453.0,1.052
1.0,109580.0,1.917
1.0,58926.0,1.091
1.0,119555.0,1.136
1.0,118180.0,0.302
1.0,7093.0,0.0689
1.0,198994.0,0.628
1.0,68487.0,1.205
1.0,195971.0,0.949
1.0,175912.0,0.637
1.0,65021.0,1.435
1.0,98633.0,0.375
1.0,200648.0,1.223
1.0,101665.0,0.597
1.0,135633.0,1.214
1.0,71999.0,2.391
1.0,33634.0,1.786
1.0,62518.0,1.463
1.0,91023.0,0.683
1.0,95474.0,0.496
1.0,76252.0,0.789
1.0,30166.0,0.561
1.0,110911.0,1.177
1.0,92172.0,1.059
1.0,104346.0,0.42
1.0,56420.0,0.581
1.0,191249.0,1.624
1.0,99210.0,0.576
1.0,5163.0,0.661
1.0,136198.0,0.653
1.0,30528.0,1.884
1.0,73244.0,0.794
1.0,151824.0,0.321
1.0,202755.0,1.441
1.0,56970.0,0.608
1.0,67570.0,1.013
1.0,69003.0,1.459
1.0,118612.0,0.297
1.0,35444.0,1.296
1.0,201388.0,1.048
1.0,202944.0,1.024
1.0,130211.0,1.956
