index,ch,site,value
0,6.0,49534.0,4.191
1,6.0,211049.0,4.106
2,6.0,211053.0,4.105
3,6.0,211079.0,3.912
4,6.0,105305.0,3.87
5,6.0,211017.0,3.646
6,6.0,105335.0,3.45
7,6.0,213742.0,3.19
8,6.0,56860.0,3.178
9,6.0,211112.0,3.142
10,6.0,213749.0,3.126
11,6.0,224415.0,3.019
12,6.0,56900.0,3.013
13,6.0,48467.0,3.001
14,6.0,210974.0,2.979
15,6.0,96479.0,2.96
16,6.0,48484.0,2.954
17,6.0,18197.0,2.943
18,6.0,77814.0,2.864
19,6.0,116225.0,2.858
20,6.0,116212.0,2.836
21,6.0,82120.0,2.825
22,6.0,116186.0,2.804
23,6.0,115381.0,2.785
24,6.0,48405.0,2.782
25,6.0,194140.0,2.718
26,6.0,207648.0,2.71
27,6.0,55577.0,2.686
28,6.0,94204.0,2.637
29,6.0,56730.0,2.632
30,6.0,56731.0,2.601
31,6.0,105266.0,2.584
32,6.0,77765.0,2.581
33,6.0,74223.0,2.538
34,6.0,194183.0,2.534
35,6.0,222816.0,2.505
36,6.0,129307.0,2.504
37,6.0,74206.0,2.491
38,6.0,175701.0,2.48
39,6.0,36407.0,2.461
40,6.0,61649.0,2.454
41,6.0,212662.0,2.443
42,6.0,186026.0,2.441
43,6.0,105434.0,2.437
44,6.0,242629.0,2.431
45,6.0,61659.0,2.431
46,6.0,55560.0,2.421
47,6.0,219938.0,2.396
48,6.0,147494.0,2.396
49,6.0,77742.0,2.396
50,6.0,227588.0,2.386
51,6.0,102090.0,2.384
52,6.0,191965.0,2.38
53,6.0,103037.0,2.371
54,6.0,103032.0,2.364
55,6.0,202868.0,2.364
56,6.0,222827.0,2.363
57,6.0,43396.0,2.359
58,6.0,168456.0,2.355
59,6.0,213664.0,2.337
60,6.0,185379.0,2.331
61,6.0,234923.0,2.316
62,6.0,101689.0,2.314
63,6.0,105427.0,2.313
64,6.0,147446.0,2.309
65,6.0,229547.0,2.308
66,6.0,212646.0,2.307
67,6.0,136877.0,2.306
68,6.0,163575.0,2.305
69,6.0,105242.0,2.303
70,6.0,163577.0,2.297
71,6.0,227209.0,2.279
72,6.0,93890.0,2.277
73,6.0,93912.0,2.277
74,6.0,147436.0,2.271
75,6.0,102119.0,2.267
76,6.0,234952.0,2.257
77,6.0,67181.0,2.254
78,6.0,259080.0,2.249
79,6.0,229473.0,2.247
80,6.0,105240.0,2.247
81,6.0,171768.0,2.244
82,6.0,186086.0,2.24
83,6.0,210957.0,2.239
84,6.0,77130.0,2.238
85,6.0,264918.0,2.227
86,6.0,245030.0,2.219
87,6.0,198469.0,2.219
88,6.0,163600.0,2.217
89,6.0,191956.0,2.216
90,6.0,242584.0,2.2
91,6.0,221619.0,2.2
92,6.0,41566.0,2.198
93,6.0,207595.0,2.19
94,6.0,41510.0,2.187
95,6.0,264930.0,2.179
96,6.0,23650.0,2.178
97,6.0,227941.0,2.153
98,6.0,96516.0,2.145
99,6.0,185440.0,2.144
100,6.0,77834.0,2.142
101,6.0,17151.0,2.139
102,6.0,209699.0,2.135
103,6.0,241083.0,2.122
104,6.0,183737.0,2.121
105,6.0,240993.0,2.114
106,6.0,101042.0,2.114
107,6.0,101038.0,2.114
108,6.0,170028.0,2.113
109,6.0,171739.0,2.111
